,,Max_ratio_fft,Max_ratio_fft,Max_fr_ftt,Max_fr_ftt,Skewness,Skewness
,,count,mean,count,mean,count,mean
Max_fft_count,Period_count,,,,,,
1.0,3.0,14305,0.0,14305,0.02951299079575906,14305,0.17056795183466608
1.0,4.0,25459,0.0,25459,0.03152454272883198,25459,0.16248086313961707
1.0,5.0,10533,0.0,10533,0.037210038292351026,10533,0.15975357300346518
1.0,6.0,1926,0.0,1926,0.04500692281066113,1926,0.15978596833985545
1.0,7.0,50,0.0,50,0.049666666666666665,50,0.11169483392479711
2.0,3.0,1106,0.19134898249289323,1106,0.020253164556962026,1106,0.18054502808520104
2.0,4.0,407,0.24241137293460907,407,0.020475020475020478,407,0.1757511045953674
2.0,5.0,618,0.2319360299133992,618,0.03540992448759439,618,0.17572251489956728
2.0,6.0,143,0.27651368796122355,143,0.042074592074592077,143,0.13178535831475635
2.0,7.0,5,0.2497660476930907,5,0.03666666666666667,5,0.2884709540336997
